epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,643.533,0.29535,4.98154,0.32939,0.28895,0.93325,0.99815,1,0.995,0.96839,0.73195,0.73333,0.61928,0.20976,0.31813,4.01719,0.42598,0.24019,0.61592,0.000647,0.000647,0.000647
84,651.239,0.30095,4.80987,0.31957,0.29178,0.95207,0.99819,1,0.995,0.96109,0.89837,0.9,0.88588,0.28484,0.29438,3.82246,0.41759,0.24631,0.59382,0.0006305,0.0006305,0.0006305
85,659.276,0.30606,5.0847,0.32075,0.29192,0.93681,0.99819,1,0.995,0.95455,0.8651,0.86667,0.82497,0.23108,0.31866,3.97322,0.40773,0.25182,0.61848,0.000614,0.000614,0.000614
86,666.964,0.29402,4.83197,0.31762,0.28806,0.94691,0.99814,1,0.995,0.95087,0.89833,0.9,0.87547,0.2501,0.33924,4.14011,0.38943,0.28554,0.64485,0.0005975,0.0005975,0.0005975
87,674.597,0.31949,5.14834,0.32325,0.31042,0.9659,0.99805,1,0.995,0.94931,0.79844,0.8,0.77934,0.2281,0.33359,3.99676,0.41376,0.26169,0.63855,0.000581,0.000581,0.000581
88,682.287,0.3076,4.75615,0.31808,0.29349,0.94572,0.99808,1,0.995,0.93765,0.86501,0.86667,0.81335,0.21034,0.38227,4.07596,0.44701,0.29759,0.67511,0.0005645,0.0005645,0.0005645
89,689.929,0.29797,4.81684,0.316,0.27939,0.94033,0.99824,1,0.995,0.91948,0.93169,0.93333,0.91462,0.24707,0.42687,3.74166,0.44428,0.28556,0.69116,0.000548,0.000548,0.000548
90,697.632,0.30201,4.54737,0.31729,0.29071,0.93708,0.99823,1,0.995,0.93748,0.93168,0.93333,0.91835,0.30192,0.35145,3.70286,0.42495,0.25567,0.63863,0.0005315,0.0005315,0.0005315
91,705.268,0.2959,4.48161,0.31792,0.28895,0.92901,0.99822,1,0.995,0.9452,0.8984,0.9,0.88301,0.2449,0.35538,3.71306,0.41493,0.24905,0.63823,0.000515,0.000515,0.000515
92,713.015,0.30428,4.5446,0.31649,0.28196,0.93896,0.99823,1,0.995,0.95664,0.86513,0.86667,0.82711,0.28123,0.35774,3.66679,0.4154,0.25953,0.62866,0.0004985,0.0004985,0.0004985
93,720.641,0.30187,4.57634,0.3134,0.28487,0.94026,0.99824,1,0.995,0.9452,0.93169,0.93333,0.89227,0.28739,0.37898,3.62381,0.42367,0.28975,0.65096,0.000482,0.000482,0.000482
94,728.314,0.29723,4.69717,0.30901,0.28475,0.93549,0.99826,1,0.995,0.96662,0.96499,0.96667,0.94882,0.28525,0.35921,3.66847,0.41905,0.28124,0.63305,0.0004655,0.0004655,0.0004655
95,736.334,0.27953,4.44756,0.31547,0.26996,0.94331,0.99821,1,0.995,0.95772,0.89839,0.9,0.86748,0.29657,0.33518,3.61627,0.41138,0.2577,0.62263,0.000449,0.000449,0.000449
96,744.431,0.26765,4.32414,0.31186,0.27356,0.92167,0.99821,1,0.995,0.96052,0.96493,0.96667,0.95777,0.30591,0.3571,3.67668,0.42081,0.26593,0.64929,0.0004325,0.0004325,0.0004325
97,752.477,0.28752,4.52408,0.30005,0.27523,0.9371,0.99827,1,0.995,0.95336,0.93172,0.93333,0.89863,0.29305,0.39058,3.74559,0.4539,0.27242,0.68521,0.000416,0.000416,0.000416
98,760.177,0.27963,4.54749,0.30759,0.27587,0.93361,0.99823,1,0.995,0.94107,0.86513,0.86667,0.81784,0.24952,0.39015,3.70981,0.42981,0.28604,0.67947,0.0003995,0.0003995,0.0003995
99,767.801,0.27347,4.5182,0.32387,0.2743,0.92548,0.99816,1,0.995,0.94931,0.96489,0.96667,0.96216,0.32529,0.32918,3.57912,0.42055,0.25363,0.62976,0.000383,0.000383,0.000383
100,775.892,0.28387,4.56319,0.31877,0.27578,0.94348,0.9982,1,0.995,0.9722,0.93165,0.93333,0.93338,0.30308,0.31199,3.64665,0.42429,0.24546,0.60813,0.0003665,0.0003665,0.0003665
101,783.923,0.2895,4.31534,0.31634,0.27854,0.93644,0.99818,1,0.995,0.9865,0.9317,0.93333,0.94092,0.35812,0.30045,3.44107,0.41645,0.23905,0.59621,0.00035,0.00035,0.00035
102,792.03,0.27304,4.32792,0.30468,0.26732,0.93306,0.99805,1,0.995,0.96765,0.89825,0.9,0.88596,0.24999,0.32969,3.639,0.4096,0.2416,0.6238,0.0003335,0.0003335,0.0003335
103,799.656,0.27241,4.27422,0.30751,0.27432,0.92223,0.99807,1,0.995,0.95859,0.93153,0.93333,0.92511,0.33123,0.34575,3.38407,0.40767,0.25705,0.64232,0.000317,0.000317,0.000317
104,807.332,0.27987,4.3339,0.29596,0.2769,0.94129,0.99816,1,0.995,0.97431,0.93161,0.93333,0.90467,0.29203,0.32564,3.44204,0.41087,0.25551,0.63074,0.0003005,0.0003005,0.0003005
105,814.943,0.25693,4.11175,0.31421,0.26514,0.9244,0.99823,1,0.995,0.958,0.93168,0.93333,0.90521,0.28458,0.33395,3.41315,0.39588,0.24588,0.63931,0.000284,0.000284,0.000284
106,822.641,0.26712,4.10843,0.30471,0.26231,0.92781,0.99825,1,0.995,0.95511,0.9317,0.93333,0.93333,0.33201,0.31919,3.38159,0.39352,0.24482,0.62151,0.0002675,0.0002675,0.0002675
107,830.268,0.2576,3.97394,0.29923,0.26099,0.91793,0.99825,1,0.995,0.97119,0.96497,0.96667,0.96099,0.30293,0.30067,3.37008,0.38654,0.22809,0.61398,0.000251,0.000251,0.000251
108,837.958,0.24726,4.08038,0.31806,0.25249,0.91643,0.99823,1,0.995,0.95205,0.99823,1,0.995,0.30498,0.3275,3.39286,0.38717,0.23782,0.62981,0.0002345,0.0002345,0.0002345
109,845.585,0.28044,4.01764,0.30075,0.276,0.93836,0.99825,1,0.995,0.96263,0.96498,0.96667,0.94982,0.35355,0.32064,3.23769,0.3915,0.24261,0.62188,0.000218,0.000218,0.000218
110,853.285,0.28269,4.1003,0.29604,0.26713,0.93614,0.99824,1,0.995,0.96889,0.96497,0.96667,0.95589,0.32915,0.32243,3.32777,0.38777,0.24878,0.63385,0.0002015,0.0002015,0.0002015
111,862.813,0.22577,3.52342,0.30342,0.29975,0.91396,0.99821,1,0.995,0.98117,0.93167,0.93333,0.92406,0.28326,0.28568,3.3825,0.39083,0.22586,0.59593,0.000185,0.000185,0.000185
112,870.497,0.19855,3.22111,0.31614,0.21854,0.89004,0.99821,1,0.995,0.97212,0.93166,0.93333,0.91219,0.22539,0.29286,3.5439,0.3801,0.25708,0.58602,0.0001685,0.0001685,0.0001685
113,878.12,0.19196,3.22618,0.30711,0.20425,0.87559,0.99823,1,0.995,0.96114,0.99823,1,0.995,0.23347,0.30231,3.55537,0.36686,0.25917,0.60354,0.000152,0.000152,0.000152
114,885.794,0.17866,3.17798,0.27995,0.19815,0.87735,0.99821,1,0.995,0.96359,0.93166,0.93333,0.87982,0.32621,0.31614,3.26929,0.34393,0.25737,0.60951,0.0001355,0.0001355,0.0001355
115,893.406,0.18728,3.00526,0.27901,0.20334,0.87951,0.99821,1,0.995,0.95857,0.96493,0.96667,0.9425,0.33682,0.31841,3.16284,0.32982,0.25429,0.61392,0.000119,0.000119,0.000119
116,901.099,0.18008,2.89249,0.26906,0.19044,0.87194,0.99822,1,0.995,0.95128,0.96495,0.96667,0.94156,0.38625,0.32572,3.09146,0.31153,0.25247,0.62254,0.0001025,0.0001025,0.0001025
117,908.714,0.177,2.89658,0.26182,0.18357,0.86954,0.99824,1,0.995,0.96054,0.93169,0.93333,0.89244,0.36841,0.32125,3.12864,0.31043,0.25719,0.62096,8.6e-05,8.6e-05,8.6e-05
118,916.385,0.16375,2.87812,0.26565,0.18068,0.87917,0.99828,1,0.995,0.97389,0.965,0.96667,0.94018,0.37055,0.31839,3.08104,0.30486,0.26311,0.62054,6.95e-05,6.95e-05,6.95e-05
119,923.989,0.17128,3.03887,0.26188,0.18286,0.8901,0.99828,1,0.995,0.97827,0.96501,0.96667,0.94046,0.36006,0.30341,3.10464,0.2991,0.25276,0.60817,5.3e-05,5.3e-05,5.3e-05
120,931.663,0.16762,2.83825,0.24737,0.17723,0.87244,0.99827,1,0.995,0.97864,0.965,0.96667,0.95602,0.40239,0.29472,2.95876,0.29545,0.24528,0.60111,3.65e-05,3.65e-05,3.65e-05
